"Rubro","Artículo","Nombre","Bt.LISTA 2","Stock"
"SUPLEMENTOS","805","AJO NEGRO X 50 CÁPSULAS ""NATIER""","14.735,54","0"
"SUPLEMENTOS","807","MAGNESIO X 50 CÁPSULAS ""NATIER""","15.826,45","3"
"PRODUCTOS CONGELADOS","808","MEDALLONES VEGETARIANOS ""KISLEV""","3.181,82","11"
"PALADEAR HOME","814","SAHUMO LIMPIEZA ENERGENTICA ""SAGRADA MADRE""","1.636,36","3"
"PALADEAR HOME","815","SAHUMERIO MOMENTOS X5 ""AROMANZA""","1.743,80","3"
"PALADEAR HOME","816","SAHUMERIO TIBETANO X8 ""AROMANZA""","2.462,81","20"
"PALADEAR HOME","820","SAHUMEADOR GRANDE COLOR","1.818,18","1"
"PALADEAR HOME","821","SAHUMEADOR CHICO CEMENTO","1.140,50","1"
"INFUSIONES Y HIERBAS","822","DIENTE DE LEON XKG","7.917,35","0"
"SUPLEMENTOS","823","ASHWAGANDHA X 60 CAPSULAS ""SOMOS SETA""","22.892,56","4"
"SNACK","824","BARRAS ""CRUDDA""  X40Gr - SIN TACC","2.049,59","0"
"SUPLEMENTOS","826","CITRATO DE MAGNESIO ""EL  NATURALISTA""","6.661,16","9"
"SUPLEMENTOS","827","CITRATO DE POTASIO ""EL NATURALISTA""","6.694,22","0"
"SUPLEMENTOS","828","GLICINATO DE MAGNESIO ""EL NATURALISA""","6.743,80","0"
"SUPLEMENTOS","829","ZINC ""EL NATURALISTA""","7.066,12","4"
"SUPLEMENTOS","830","CARDOMARIANO x 30 cápsulas ""EL NATURALISTA""","11.297,52","0"
"SUPLEMENTOS","831","SPIRULINA X 10 COMP. ""EL NATURALISTA""","1.793,39","4"
"SUPLEMENTOS","832","GINKGO BILOBA FORTE X 10 COMP. ""EL NATURALISTA""","1.628,10","42"
"SUPLEMENTOS","833","VITAMINA E X 10 COMP. ""EL NATURALISTA""","2.148,76","0"
"SUPLEMENTOS","834","GINSENG + MAGNESIO X 10 COMP. ""EL NATURALISTA""","1.975,21","9"
"SUPLEMENTOS","836","LEVADURA DE CERVEZA SABOR QUESO X200GR","8.851,24","2"
"VINOS","838","MARCIANO WINE MALBEC","9.322,31","6"
"ESPECIAS","839","BICARBONATO  DE SODIO X KG","2.388,43","4"
"ESPECIAS","842","POLEN X KG","18.842,97","1"
"INFUSIONES Y HIERBAS","843","ROSA MOSQUETA X KG","36.140,50","0"
"INFUSIONES Y HIERBAS","845","MALVA X KG","6.785,12","0"
"AZUCAR, CACAO Y REPOSTERIA","846","MAPLE ""SYRUP"" JARABE DE ARCE X250ML","16.677,69","0"
"AZUCAR, CACAO Y REPOSTERIA","848","STEVIA SOBRES X100 ""SIN TACC""","4.198,35","2"
"AZUCAR, CACAO Y REPOSTERIA","849","STEVIA LIQUIDA X120 ""SIN TACC""","5.016,53","7"
"ESPECIAS","851","GARAM MASALA XKG","19.743,80","0"
"SUPLEMENTOS","852","VITAMINA D3 X 50 UNIDADES ""NATIER""","15.049,59","3"
"PRODUCTOS SIN TACC","853","BARRA CROWIE  ARROZ ""SIN TACC""","793,39","106"
"SUPLEMENTOS","855","CORDYCEPS EXTRACTO 60CC ""SOMOS SETA""","17.735,54","1"
"PRODUCTOS SIN TACC","857","TOSTADAS RISKY  ""SIN TACC""","1.438,02","22"
"PRODUCTOS SIN TACC","861","GALLETAS SLIM DOS HERMANO ""SIN TACC""","1.140,50","15"
"SUPLEMENTOS","862","MELENA DE LEON X 60 CAPSULAS ""SOMOS SETA""","22.892,56","3"
"SUPLEMENTOS","863","REISHI X 60 CAPSULAS ""SOMOS SETA""","19.603,31","0"
"SUPLEMENTOS","864","CORDYCEPS X 60 CAPSULAS ""SOMOS SETA""","22.892,56","1"
"SNACK","865","GALLETAS CACHAFAZ INTEGRALES","2.900,83","2"
"SUPLEMENTOS","866","MELENA+ASHWAGANDHA X 60CC ""SOMOS SETA""","17.735,54","0"
"ACEITES Y VINAGRES","869","ACEITE DE OLIVA   500 PET VERDE OLIVA","3.057,85","15"
"DULCES, MIEL Y CHOCOLATES","872","MERMELADA DE FRUTILLAS Y ARANDANOS ""LAS DOÑAS""","5.049,59","4"
"DULCES, MIEL Y CHOCOLATES","873","MERMELADA DE CITRICOS ""LAS DOÑAS""","3.958,68","5"
"DULCES, MIEL Y CHOCOLATES","874","MERMELADA DE PERAS Y JENGIBRE ""LAS DOÑAS""","3.966,94","10"
"PALADEAR HOME","875","COLADOR COMUN ROSE","5.049,59","0"
"PALADEAR HOME","876","DELANTAL JEAN","28.925,62","0"
"SUPLEMENTOS","881","PLATA COLOIDAL X100ML","8.388,43","1"
"DULCES, MIEL Y CHOCOLATES","883","DULCE DE LECHE CON STEVIA DOÑA MAGDALENA ""SIN TACC""","6.016,53","0"
"ACEITES Y VINAGRES","890","ACEITE COCO NEUTRO ENTRENUTS ""SIN TACC"" x 360 G","6.347,11","2"
"ACEITES Y VINAGRES","891","ACEITE COCO VIRGEN ENTRENUTS ""SIN TACC"" X 200 g","7.206,61","5"
"LINEA GOURMET","893","SALSA TAHINE","7.991,74","5"
"DULCES, MIEL Y CHOCOLATES","894","DULCE DE LECHE DE COCO VEGANO ""SIN TACC"" - DOÑA MAGDALENA","6.528,93","0"
"DULCES, MIEL Y CHOCOLATES","902","MERMELADA ""DOÑA MAGDALENA"" C/STEVIA ""SIN TACC""","6.991,74","0"
"ESPECIAS","903","CALDO DE VERDURAS CON SAL ""El Naturalista"" x10sobres","2.644,63","15"
"ESPECIAS","904","CALDO DE VERDURA SIN SAL ""El Naturalista"" x10sobres","2.991,74","2"
"AZUCAR, CACAO Y REPOSTERIA","908","CHOCOLATE 100%  COBERTURA SEMIAMARGO x kg - COLONIAL","53.355,37","4"
"SUPLEMENTOS","909","MELENA+ REISHI X 60CC ""SOMOS SETA""","17.735,54","0"
"PRODUCTOS SIN TACC","915","PREMEZCLA PIZZA ""DELICEL"" X500GR SIN TACC","3.495,87","0"
"SUPLEMENTOS","916","REDUCTOR BLISTER  X 10 COMP.""EL NATURALISTA""","1.983,47","22"
"SUPLEMENTOS","917","CURCUMA ACTIVADA CON PIMIENTA X 30 COMP. ""EL NATURALISTA""","6.867,77","0"
"SUPLEMENTOS","918","CASCARA SAGRADA GOTAS X 60 CC ""EL NATURALISTA""","6.561,98","5"
"DULCES, MIEL Y CHOCOLATES","919","MIEL BATIDA ""GOTAS DE ORO"" X500GR","5.190,08","4"
"SUPLEMENTOS","922","VALERIANA BLISTER  X 10 COMP. ""EL NATURALISTA""","2.181,82","5"
"PRODUCTOS CONGELADOS","923","MIX FRUTOS ROJOS CONGELADOS X KILO","11.396,69","1"
"AZUCAR, CACAO Y REPOSTERIA","925","STEVIA HOJAS X KG","22.586,78","1"
"INFUSIONES Y HIERBAS","926","MATCHA X KG","110.148,76","0"
"SUPLEMENTOS","927","PROBIOTICOS KYIOJIN X 60 ML","15.347,11","3"
"SUPLEMENTOS","932","ACEITE DE OREGANO X30CC ""SOMOS SETA""","10.198,35","2"
"PRODUCTOS CONGELADOS","933","MARACUYA CONGELADO X KG","11.983,47","2"
"SUPLEMENTOS","934","CENTELLA ASIATICA X 50 NATIER","14.008,26","2"
"SUPLEMENTOS","935","VITAMINA B12 X 50 NATIER","15.057,85","0"
"SUPLEMENTOS","936","OMEGA 3-SYNERGY 60 cap","18.595,04","4"
"ESPECIAS","952","AGAR AGAR","16.322,31","0"
"SUPLEMENTOS","959","RESVERATROL X 30 ""EL NATURALISTA""","10.314,05","7"
"SUPLEMENTOS","965","CAROTENO X 10 cápsulas ""EL NATURALISTA""","1.363,64","2"
"SUPLEMENTOS","968","PROPOLEO LIQ X 100ml El Naturalista","5.504,13","6"
"SUPLEMENTOS","972","CURCUMA, JENGIBRE Y PIMIENTA vitawellness x 30 cap","9.793,39","2"
"SUPLEMENTOS","973","VINAGRE DE SIDRA DE MANZANA X 250  ML ""NATIER""","11.165,29","1"
"FRUTOS SECOS","974","MIX SIN PASAS PREMIUM X KG","13.595,04","4"
"DULCES, MIEL Y CHOCOLATES","975","MEMBRILLITOS X30Gr ""PIZARRO""","719,01","19"
"BEBIDAS","978","KEFIR DE AGUA ""KE.LIVE"" SABORIZADO X 950 ML","2.909,09","5"
"SUPLEMENTOS","984","CREATINA MONOHIDRATO","15.041,32","10"
"SUPLEMENTOS","985","PROTEINA AISALDA DE SUERO X KG","9.347,11","2"
"DULCES, MIEL Y CHOCOLATES","987","GOTITAS DE CHOCO BLANCO X KG","11.702,48","2"
"PALADEAR HOME","996","MOLINILLO ACERO INOXIDABLE","16.636,36","5"
"PALADEAR HOME","997","MORTERO MARMOL","19.008,26","0"
"SUPLEMENTOS","1002","SPIRULINA EN POLVO X KG","30.768,60","2"
"AZUCAR, CACAO Y REPOSTERIA","1003","EXTRACTO DE VAINILLA NATURAL X 100 CC ""EL CASTILLO""","10.685,95","4"
"SUPLEMENTOS","1009","VINAGRE DE SIDRA DE MANZANA X 500 ML ""NATIER""","19.611,57","2"
"ESPECIAS","1010","PIMIENTA JAMAICA X KG","33.694,21","1"
"ACEITES Y VINAGRES","1011","ACEITE COCO NEUTRO ENTRENUTS ""SIN TACC"" x 200","4.223,14","4"
"ACEITES Y VINAGRES","1012","ACEITE COCO VIRGEN ENTRENUTS ""SIN TACC"" X 360 g","12.396,69","9"
"DULCES, MIEL Y CHOCOLATES","1014","BARRA CHOCO 80% X 100 g - COLONIAL","5.123,97","7"
"MANTECAS Y PASTAS","1015","MANTECA CLARIFICADA GHEE ""ENTRENUTS"" X370","11.404,96","0"
"DULCES, MIEL Y CHOCOLATES","1017","MIEL BATIDA ""GOTAS DE ORO"" X250GR","2.702,48","0"
"SUPLEMENTOS","1022","MORINGA TINTURA MADRE X60cc ""EL NATURALISTA""","4.694,22","3"
"SUPLEMENTOS","1023","ACEITE PURO DE ARGAN X 50CC","6.867,77","3"
"PRODUCTOS CONGELADOS","1024","CALDO DE HUESO "" MEDICINA ANCESTRAL""","5.446,28","4"
"PRODUCTOS SIN TACC","1026","GALLETAS SIN TACC X KG","11.570,25","1"
"SUPLEMENTOS","1027","CENTELLA ASIATICA+GINKGOBILOBA+TEVERDE+HIBISCUS","9.512,40","2"
"DULCES, MIEL Y CHOCOLATES","1031","MIEL CREMOGENADA  x 500 g ""TRES SOLES"" - FLOR DEL ALGARROBO","5.157,02","0"
"DULCES, MIEL Y CHOCOLATES","1032","MIEL X 500 g ""TRES SOLES"" - JALEA","5.115,70","7"
"DULCES, MIEL Y CHOCOLATES","1033","MIEL X 300 g ""TRES SOLES"" - JALEA","3.289,26","2"
"SUPLEMENTOS","1036","CERA DE MIEL DEPILATORIA","6.396,69","0"
"PALADEAR HOME","1037","CUENCOS DE CERÁMICA","11.471,07","0"
"SUPLEMENTOS","1038","ACEITE DE TOMILLO ""SUPPLY"" X30ML","5.876,03","0"
"SUPLEMENTOS","1040","RELAX BLEND X50CAP. ""NATIER""","17.000,00","2"
"VINOS","1046","GIN DE AUTOR SABORIZADO x 500 cc ""TIERRA SANTA""","6.735,54","3"
"VINOS","1049","GIN DE AUTOR LODON DRY x 750 cc ""TIERRA SANTA""","9.066,12","0"
"PALADEAR HOME","1052","MANTELITOS ARTESANALES (POLIÉSTER)","4.917,35","0"
"ESPECIAS","1053","MERKEN CHILENO X KG","12.363,64","1"
"AZUCAR, CACAO Y REPOSTERIA","1054","ESENCIA DE PAN DULCE 60 cc","3.008,26","0"
"AZUCAR, CACAO Y REPOSTERIA","1055","ESENCIA DE AGUA DE AZAHAR 60 cc","2.404,96","2"
"HARINAS","1060","HARINA DE ALMENDRAS C/PIEL","19.413,22","4"
"DULCES, MIEL Y CHOCOLATES","1061","LENTEJA DE CHOCOLATE XKG","21.016,53","4"
"PRODUCTOS CONGELADOS","1062","MANGO EN TROZOS CONGELADOS  XKG","8.272,73","0"
"SUPLEMENTOS","1063","SELENIO QUELADO ""NATIER"" X 50 CAP","16.975,21","0"
"INFUSIONES Y HIERBAS","1067","SEN HOJAS X KG","5.355,37","2"
"SUPLEMENTOS","1068","ALOE VERA DIGESTIVO BEBIBLE X250 ""NATIER""","8.595,04","0"
"SUPLEMENTOS","1070","ALOE VERA JUGO X 500 ML"" NATIER""","13.008,26","2"
"INFUSIONES Y HIERBAS","1071","BLEND DE TE X 30g","1.404,96","0"
"PRODUCTOS DE FRIO","1072","TOFU SOYANA ORGÁNICO 350 g","8.446,28","0"
"PALADEAR HOME","1073","BOMBITA DEFUMACION X 4 uni. - SAGRADA MADRE","851,24","13"
"PALADEAR HOME","1074","SAHUMERIOS CON PORTASAHUMERIO AROMANZA","4.322,31","4"
"PRODUCTOS SIN TACC","1078","PREMEZCLA BIZCOCHUELO ""DELICEL"" X500GR SIN TACC","3.495,87","0"
"SUPLEMENTOS","1079","NAD X 60 cápsulas ""EL NATURALISTA""","8.586,78","1"
"SUPLEMENTOS","1080","NAD+RESVERATROL X 60 cápsulas ""EL NATURALISTA""","15.595,04","7"
"SUPLEMENTOS","1082","MELENA DE LEON SUPPLY 60 ml","15.462,81","0"
"SUPLEMENTOS","1091","ACIDO ASCÓRBICO X KG","11.479,34","0"
"INFUSIONES Y HIERBAS","1092","TILO EN HOJAS","83.677,69","0"
"AZUCAR, CACAO Y REPOSTERIA","1093","POLVO  PARA HORNEAR X KG","3.380,16","12"
"SUPLEMENTOS","1094","SPIRULINA CONCENTRADA NATIER x 50 cápsulas","15.834,71","0"
"SUPLEMENTOS","1096","CARQUEJA TINTURA MADRE  ""EL NATURALISTA""","4.421,05","0"
"SUPLEMENTOS","1097","ACEITE PURO DE RICINO ""EL NATURALISTA""","4.388,43","1"
"PRODUCTOS SIN TACC","1099","GALLETITAS DELICEL (SIN TACC) x 150 g","2.561,98","1"
"PRODUCTOS SIN TACC","1100","AVENA INSTANTANEAX 400 g ""SIN TACC""","2.107,44","0"
"SUPLEMENTOS","1109","VINAGRE  DE SIDRA DE MANZANA ""VERDE VIDA"" X 500 ML","8.347,11","5"
"GRANOS Y LEGUMBRES","1112","TRIGO SARRACENO PELADO X KG","8.330,58","0"
"DULCES, MIEL Y CHOCOLATES","1113","MERMELADA DE PERAS AL MALBEC ""LAS DOÑAS""","4.917,35","2"
"FRUTOS SECOS","1114","PISTACHOS NATURALES SIN CÁCARA X KG","68.256,20","14"
"SUPLEMENTOS","1115","HIPÉRICO TINTURA MADRE X 60 CC","4.198,35","0"
"SUPLEMENTOS","1116","MELISA TINTURA MADRE X 60 CC","4.314,05","0"
"SUPLEMENTOS","1117","ORTIGA TINTURA MADRE X 60 CC","4.859,50","4"
"SUPLEMENTOS","1118","NENCIA TINTURA MADRE  X 60 CC","6.776,86","0"
"SUPLEMENTOS","1119","PASIONARIA TINTURA MADRE X 6O CC","4.859,50","2"
"SUPLEMENTOS","1120","VALERIANA TINTURA MADRE X 60 CC","5.396,69","2"
"ESPECIAS","1121","SAL DIETETICA NATURAL","2.471,07","2"
"SUPLEMENTOS","1122","ACEITE PURO DE ALMENDRAS X 50 CC","3.487,60","1"
"ACEITES Y VINAGRES","1123","ACEITE DE SÉSAMO X 250 ML NATRUSEM","12.049,59","1"
"GRANOS Y LEGUMBRES","1124","TRIGO CANDEAL X KG","2.123,97","4"
"SUPLEMENTOS","1125","MELENA DE LEON EXTRACTO 60cc ""SOMOS SETA""","17.735,54","1"
"INFUSIONES Y HIERBAS","1126","CAFE BRASIL BB X 250","15.735,54","4"
"INFUSIONES Y HIERBAS","1127","CAFE COLOMBIA HUILA BB X250","16.603,31","1"
"INFUSIONES Y HIERBAS","1128","CAFE DESCAFEINADO EXOTIC COLOMBIA BB X250","18.702,48","1"
"PALADEAR HOME","1129","FILTROS PARA CAFE X 10 unidades","1.157,03","0"
"SUPLEMENTOS","1130","CALCIO+VITAMINA ""D"" 60 uni.  ""EL NATURALISTA""","6.181,82","2"
"ACEITES Y VINAGRES","1131","ACEITE DE LINO X 150 cc ""NUTRA SEM""","7.504,13","2"
"ACEITES Y VINAGRES","1132","ACEITE DE LINO X 250 cc ""NUTRA SEM""","11.272,73","3"
"PRODUCTOS VARIOS","1133","ENVIO","0,00","13"
"VINOS","1137","VERMUTH  ""AQUI Y AHORA""","5.396,69","0"
"LINEA GOURMET","1140","KIMCHI VERDE VIDA 360 ml","6.157,02","1"
"INFUSIONES Y HIERBAS","1142","PEPERINA X KG","30.876,03","0"
"PALADEAR HOME","1145","DIFUSOR ""ILUMINARTE"" X 125 ml","4.057,85","9"
"SUPLEMENTOS","1146","PROPOLEO SPRAY 30 cc ""EL NATURALISTA""","3.305,78","2"
"SUPLEMENTOS","1147","EQUINACEA TINTURA MADRE 60 cc ""EL NATURALISTA""","4.942,15","4"
"PALADEAR HOME","1150","VELON BURBUJA","2.000,00","12"
"AZUCAR, CACAO Y REPOSTERIA","1153","GOMA XANTICA","31.438,02","0"
"PRODUCTOS SIN TACC","1155","POLVO P/HORENAR X 250 g SIN TACC - DICOMERE","1.958,68","1"
"SUPLEMENTOS","1156","ASHWAGANDHA X 60 CC ""SOMOS SETA""","17.735,54","0"
"SUPLEMENTOS","1157","REISHI X 60 CC ""SOMOS SETA""","17.371,90","1"
"SEMILLAS","1158","PSYLLIUM SEMILLA X KG","31.619,83","3"
"INFUSIONES Y HIERBAS","1159","BLEND DE TE X KG","22.314,05","0"
"ACEITES Y VINAGRES","1160","ACETO BALSAMICO MILLAN X 250 cc","6.561,98","6"
"PALADEAR HOME","1163","SALERO/PIMENTERO","3.165,29","15"
"HARINAS","1164","PSYLLIUM MOLIDO X KG","58.107,44","5"
"PALADEAR HOME","1165","PALO SANTO X30GR","1.339,39","2"
"PALADEAR HOME","1169","PRENSA FRANCESA 800 ml","17.355,37","0"
"SUPLEMENTOS","1176","CLORURO DE MAGNESIO X KG","4.049,59","5"
"SEMILLAS","1177","SEMILLAS HINOJO","7.743,80","1"
"DULCES, MIEL Y CHOCOLATES","1179","MERMELADA FRUTOS ROJOS CON STEVIA ""DOÑA MAGDALENA""","8.024,79","0"
"PALADEAR HOME","1181","TAZA VIDRIO","6.958,68","6"
"AZUCAR, CACAO Y REPOSTERIA","1183","SYRUP DE DATILES ""LYNA""","12.520,66","3"
"SIN CATEGORÍA","1184","PASAS DE UVA CEREZA CON SEMILLA X KG","1.867,77","5"
"AZUCAR, CACAO Y REPOSTERIA","1185","LEVADURA LEVEX 13 g","809,92","6"
"PALADEAR HOME","1186","CAJA FUERZA DIVINA","19.099,90","1"
"PALADEAR HOME","1187","MIXTURAS","3.246,35","2"
"LINEA GOURMET","1188","ZAPALLO EN ALMIBAR X3.8KG","28.735,54","0"
"LINEA GOURMET","1189","HIGOS EN ALMIBAR X 3,8 KG","38.206,61","0"
"VINOS","1191","LA IRIDE CHAMP EXTRA BRUT X 750 cc","5.000,00","0"
"DULCES, MIEL Y CHOCOLATES","1199","BANANITAS CON CHOCO","41.810,83","2"
"PALADEAR HOME","1201","TETERA CON INFUSOR 550 ml","14.983,47","5"
"PALADEAR HOME","1202","TETERA CON INFUSOR 750ml","17.975,20","10"
"BEBIDAS","1203","KOMBUCHA  EYWA 354 ml","3.685,95","8"
"SNACK","1204","BARRA ""INTEGRA""","1.712,81","1"
"SUPLEMENTOS","1207","BISGLICINATO DE MAGNESIO NATIER 50 cápsulas","15.818,18","0"
"SUPLEMENTOS","1208","TREMELLA EN POLVO 30 g ""SOMOS SETAS""""","19.776,86","1"
"SUPLEMENTOS","1209","TREMELLA EXTRACTO 60 cc ""SOMOS SETAS""","17.743,80","2"
"SUPLEMENTOS","1210","HIBISCUS EXTRACTO 60 cc ""SOMOS SETAS""","9.710,74","2"
"SUPLEMENTOS","1211","ACEITE DE HIBISCUS 30 ml ""SOMOS SETAS""","9.710,74","1"
"SUPLEMENTOS","1212","MELENA DE LEON EN POLVO 30 g ""SOMOS SETAS""","20.743,80","1"
"SUPLEMENTOS","1213","COLA DE PAVO EXTRACTO 60 cc ""SOMOS SETAS""","17.735,54","1"
"PRODUCTOS CONGELADOS","1214","FRAMBUESAS CONGELADAS X KG","17.975,21","0"
"LINEA GOURMET","1215","PASTA ACEITUNAS CONDIM. 200 g","3.157,03","3"
"SUPLEMENTOS","1216","RHODIOLA ROSEA POLVO ""SOMOS SETAS""","20.731,40","1"
"DULCES, MIEL Y CHOCOLATES","1217","MERMELADA MQA ZANAHORIA/NARANJA X310GR","4.438,02","4"
"LINEA GOURMET","1220","MOSTAZA CON MIEL ORGANICA 190gr","4.719,01","0"
"LINEA GOURMET","1221","MOSTAZA DIJON 170gr","5.603,31","0"
"SUPLEMENTOS","1222","MAITAKE ""SOMOS SETAS"" X60cap","20.520,66","1"
"SUPLEMENTOS","1223","RHODIOLA X60 CAPSULAS ""SOMOS SETAS""","20.520,66","0"
"SUPLEMENTOS","1224","RHODIOLA ROSEA EXTRACTO X60cc ""SOMOS SETAS""","15.900,83","1"
"SUPLEMENTOS","1225","VITAMINA K2 + D3 X 50 cápsulas ""NATIER""","25.553,72","0"
"SUPLEMENTOS","1226","POTASIO+MAGNESIO 30cap ""El Naturalista""","6.826,44","13"
"SUPLEMENTOS","1227","CITRATO DE MAGNESIO  XKG","18.834,71","2"
"SNACK","1228","BARRA MUECA PROTEICA","1.921,48","33"
"SUPLEMENTOS","1229","ELECTROLITOS ""SUMA"" - Sobre x 9 g","2.132,23","8"
"SNACK","1230","PITA CHIPS DE MASA MADRE - ALMADRE","2.264,46","0"
"PRODUCTOS SIN TACC","1231","CHIPS DE PAPAS ""SIN TACC"" - BOUTIQUE CHIPS","2.719,01","5"
"PRODUCTOS SIN TACC","1232","CHIPS DE BATATA ""SIN TACC"" - BOUTIQUE CHIPS","2.719,01","4"
"MANTECAS Y PASTAS","1233","MANTECA CLARIFICADA GHEE X 150 g - COW'S PURE","6.735,54","5"
"PRODUCTOS SIN TACC","1234","PREMEZCLA SIN TACC UNIVERSAL PANADERIA REPOSTERÍA Y PASTAS X 500 g - DELICEL","2.983,47","9"
"SUPLEMENTOS","1237","ACEITE PURO DE ARNICA X50cc","5.553,72","2"
"SUPLEMENTOS","1238","TREMELLA EN CAPSULAS ""SOMOS SETAS""","20.520,66","1"
"PALADEAR HOME","1239","PRENSA FRANCESA 350ml","12.809,92","0"
"PALADEAR HOME","1240","PRENSA FRANCESA 600ml","12.603,31","5"
"AZUCAR, CACAO Y REPOSTERIA","1241","BARRA CHOCOLATE MAPRICUBER xKg","17.636,36","0"
"FRUTOS SECOS","1244","NUEZ DE BRASIL XKG","42.413,22","1"
"PALADEAR HOME","1245","ACEITERO SPRAY X 100 ML","4.958,68","1"
"LINEA GOURMET","1246","SALSA INGLESA x180cc","4.372,73","2"
"SUPLEMENTOS","1247","PROPOLEO PLUS+CURCUMA,JENGIBRE Y TOMILLO 250ml","9.255,30","2"
"SUPLEMENTOS","1248","MAGNESIO EN POLVO NATIER X150g","21.251,34","2"
"SUPLEMENTOS","1249","NMN nicotinamida mononucleotido","38.531,34","1"
"SUPLEMENTOS","1250","SHITAKE X 60 CAPS. SOMOS SETAS","20.520,66","0"
"SUPLEMENTOS","1251","COLA DE PAVO x 60 CAPS SOMOS SETA","20.520,66","0"
"GRANOS Y LEGUMBRES","1252","MAIZ PSINGALLO","1.958,68","1"
"INFUSIONES Y HIERBAS","1253","SALVIA OFICINAL","11.066,12","0"
"SUPLEMENTOS","1254","CAFE VERDE X30 COMPRIMIDOS ""EL NATURALISTA""","5.603,31","6"
"SUPLEMENTOS","1255","FLEBOTONICO X30 COMPRIMIDOS ""EL NATURALISTA""","5.760,33","3"
"SUPLEMENTOS","1256","COLAGENO X 10 COMPRIMIDOS ""EL NATURALISTA""","1.859,50","6"
"SUPLEMENTOS","1257","VITAMINA C X 60 COMPRIMIDOS ""EL NATURALISTA""","6.768,60","1"
"PRODUCTOS SIN TACC","1258","AVENA BIO SIN GLUTEN 500gr","4.099,17","5"
"DULCES, MIEL Y CHOCOLATES","1259","DULCE DE MEMBRILLO PIZARRO 454gr","3.892,56","1"
"PRODUCTOS SIN TACC","1260","DULCE BATATA SIN AZUCAR ORIETA 400GR","3.264,46","3"
"PRODUCTOS SIN TACC","1261","DULCE MEMBRILLO SIN AZUCAR ORIETA 400gr","4.363,64","3"
"PRODUCTOS SIN TACC","1262","ALFAJOR SIN AZUCAR ""BANDA""","909,09","0"
"PALADEAR HOME","1263","VELA EN LATA MANDALA CHICA","5.140,50","4"
"PRODUCTOS CONGELADOS","1264","CHIPA X480 GR - AFG","7.438,02","0"
